# covariate data for axiom7,,,,
# nrow 501,,,,
# ncol 5,,,,
id,Sex,Batch,ngen,StartDate
Schneider_E288,F,4,G27,8/31/2017
Schneider_E289,F,4,G27,8/31/2017
Schneider_E290,F,4,G27,8/31/2017
Schneider_E291,F,4,G27,8/31/2017
Schneider_E292,F,4,G27,8/31/2017
Schneider_E293,F,4,G27,8/31/2017
Schneider_E294,F,4,G27,8/31/2017
Schneider_E295,F,4,G27,8/31/2017
Schneider_E296,F,4,G27,8/31/2017
Schneider_E297,F,4,G27,8/31/2017
Schneider_E298,F,4,G27,8/31/2017
Schneider_E299,F,4,G27,8/31/2017
Schneider_E300,F,4,G27,8/31/2017
Schneider_E301,F,4,G27,8/31/2017
Schneider_E302,F,4,G27,8/31/2017
Schneider_E303,F,4,G27,8/31/2017
Schneider_E304,F,4,G27,8/31/2017
Schneider_E305,F,4,G27,8/31/2017
Schneider_E306,F,4,G27,8/31/2017
Schneider_E307,F,4,G27,8/31/2017
Schneider_E308,F,4,G27,8/31/2017
Schneider_E309,F,4,G27,8/31/2017
Schneider_E310,F,4,G27,8/31/2017
Schneider_E311,F,4,G27,8/31/2017
Schneider_E312,F,4,G27,8/31/2017
Schneider_E313,F,4,G27,8/31/2017
Schneider_E314,F,4,G27,8/31/2017
Schneider_E315,F,4,G27,8/31/2017
Schneider_E316,F,4,G27,8/31/2017
Schneider_E317,F,4,G27,8/31/2017
Schneider_E318,F,4,G27,8/31/2017
Schneider_E319,F,4,G27,8/31/2017
Schneider_E320,F,4,G27,8/31/2017
Schneider_E321,F,4,G27,8/31/2017
Schneider_E322,F,4,G27,8/31/2017
Schneider_F323,F,5,G28,11/22/2017
Schneider_F324,F,5,G28,11/22/2017
Schneider_F325,F,5,G28,11/22/2017
Schneider_F326,F,5,G28,11/22/2017
Schneider_F327,F,5,G28,11/22/2017
Schneider_F328,F,5,G28,11/22/2017
Schneider_F329,F,5,G28,11/22/2017
Schneider_F330,F,5,G28,11/22/2017
Schneider_F331,F,5,G28,11/22/2017
Schneider_F332,F,5,G28,11/22/2017
Schneider_F333,F,5,G28,11/22/2017
Schneider_F334,F,5,G28,11/22/2017
Schneider_F335,F,5,G28,11/22/2017
Schneider_F336,F,5,G28,11/22/2017
Schneider_F337,F,5,G28,11/22/2017
Schneider_F338,F,5,G28,11/22/2017
Schneider_F339,F,5,G28,11/22/2017
Schneider_F340,F,5,G28,11/22/2017
Schneider_F341,F,5,G28,11/22/2017
Schneider_F342,F,5,G28,11/22/2017
Schneider_F343,F,5,G28,11/22/2017
Schneider_F344,F,5,G28,11/22/2017
Schneider_F345,F,5,G28,11/22/2017
Schneider_F346,F,5,G28,11/22/2017
Schneider_F347,F,5,G28,11/22/2017
Schneider_F348,F,5,G28,11/22/2017
Schneider_F349,F,5,G28,11/22/2017
Schneider_F350,F,5,G28,11/22/2017
Schneider_F351,F,5,G28,11/22/2017
Schneider_F352,F,5,G28,11/22/2017
Schneider_F353,F,5,G28,11/22/2017
Schneider_F354,F,5,G28,11/22/2017
Schneider_F355,F,5,G28,11/22/2017
Schneider_F356,F,5,G28,11/22/2017
Schneider_F357,F,5,G28,11/22/2017
Schneider_F358,F,5,G28,11/22/2017
Schneider_F359,F,5,G28,11/22/2017
Schneider_F360,F,5,G28,11/22/2017
Schneider_F361,F,5,G28,11/22/2017
Schneider_F362,F,5,G28,11/22/2017
Schneider_F363,F,5,G28,11/22/2017
Schneider_F364,F,5,G28,11/22/2017
Schneider_F365,F,5,G28,11/22/2017
Schneider_F366,F,5,G28,11/22/2017
Schneider_F367,F,5,G28,11/22/2017
Schneider_F368,F,5,G28,11/22/2017
Schneider_F369,F,5,G28,11/22/2017
Schneider_F370,F,5,G28,11/22/2017
Schneider_F371,F,5,G28,11/22/2017
Schneider_F372,F,5,G28,11/22/2017
Schneider_F374,F,5,G28,11/22/2017
Schneider_F375,F,5,G28,11/22/2017
Schneider_F376,F,5,G28,11/22/2017
Schneider_F377,F,5,G28,11/22/2017
Schneider_F378,F,5,G28,11/22/2017
Schneider_F379,F,5,G28,11/22/2017
Schneider_F380,F,5,G28,11/22/2017
Schneider_F381,F,5,G28,11/22/2017
Schneider_F382,F,5,G28,11/22/2017
Schneider_F383,F,5,G28,11/22/2017
Schneider_F384,F,5,G28,11/22/2017
Schneider_F385,F,5,G28,11/22/2017
Schneider_F386,F,5,G28,11/22/2017
Schneider_F387,F,5,G28,11/22/2017
Schneider_F388,F,5,G28,11/22/2017
Schneider_F389,F,5,G28,11/22/2017
Schneider_F390,F,5,G28,11/22/2017
Schneider_F391,F,5,G28,11/22/2017
Schneider_F392,F,5,G28,11/22/2017
Schneider_F393,F,5,G28,11/22/2017
Schneider_F394,F,5,G28,11/22/2017
Schneider_F395,F,5,G28,11/22/2017
Schneider_F396,F,5,G28,11/22/2017
Schneider_F397,F,5,G28,11/22/2017
Schneider_G398,F,6,G29,2/21/2018
Schneider_G399,F,6,G29,2/21/2018
Schneider_G400,F,6,G29,2/21/2018
Schneider_G401,F,6,G29,2/21/2018
Schneider_G402,F,6,G29,2/21/2018
Schneider_G403,F,6,G29,2/21/2018
Schneider_G404,F,6,G29,2/21/2018
Schneider_G405,F,6,G29,2/21/2018
Schneider_G406,F,6,G29,2/21/2018
Schneider_G407,F,6,G29,2/21/2018
Schneider_G408,F,6,G29,2/21/2018
Schneider_G409,F,6,G29,2/21/2018
Schneider_G410,F,6,G29,2/21/2018
Schneider_G411,F,6,G29,2/21/2018
Schneider_G412,F,6,G29,2/21/2018
Schneider_G413,F,6,G29,2/21/2018
Schneider_G414,F,6,G29,2/21/2018
Schneider_G415,F,6,G29,2/21/2018
Schneider_G416,F,6,G29,2/21/2018
Schneider_G417,F,6,G29,2/21/2018
Schneider_G418,F,6,G29,2/21/2018
Schneider_G419,F,6,G29,2/21/2018
Schneider_G420,F,6,G29,2/21/2018
Schneider_G421,F,6,G29,2/21/2018
Schneider_G422,F,6,G29,2/21/2018
Schneider_G423,F,6,G29,2/21/2018
Schneider_G424,F,6,G29,2/21/2018
Schneider_G425,F,6,G29,2/21/2018
Schneider_G426,F,6,G29,2/21/2018
Schneider_G427,F,6,G29,2/21/2018
Schneider_G428,F,6,G29,2/21/2018
Schneider_G429,F,6,G29,2/21/2018
Schneider_G430,F,6,G29,2/21/2018
Schneider_G431,F,6,G29,2/21/2018
Schneider_G432,F,6,G29,2/21/2018
Schneider_G433,F,6,G29,2/21/2018
Schneider_G434,F,6,G29,2/21/2018
Schneider_G435,F,6,G29,2/21/2018
Schneider_G436,F,6,G29,2/21/2018
Schneider_G437,F,6,G29,2/21/2018
Schneider_G438,F,6,G29,2/21/2018
Schneider_G439,F,6,G29,2/21/2018
Schneider_G440,F,6,G29,2/21/2018
Schneider_G441,F,6,G29,2/21/2018
Schneider_G442,F,6,G29,2/21/2018
Schneider_G443,F,6,G29,2/21/2018
Schneider_G444,F,6,G29,2/21/2018
Schneider_G445,F,6,G29,2/21/2018
Schneider_G446,F,6,G29,2/21/2018
Schneider_G447,F,6,G29,2/21/2018
Schneider_G448,F,6,G29,2/21/2018
Schneider_G449,F,6,G29,2/21/2018
Schneider_G450,F,6,G29,2/21/2018
Schneider_G451,F,6,G29,2/21/2018
Schneider_G452,F,6,G29,2/21/2018
Schneider_G453,F,6,G29,2/21/2018
Schneider_G454,F,6,G29,2/21/2018
Schneider_G455,F,6,G29,2/21/2018
Schneider_G456,F,6,G29,2/21/2018
Schneider_G457,F,6,G29,2/21/2018
Schneider_G458,F,6,G29,2/21/2018
Schneider_G459,F,6,G29,2/21/2018
Schneider_G460,F,6,G29,2/21/2018
Schneider_G461,F,6,G29,2/21/2018
Schneider_G462,F,6,G29,2/21/2018
Schneider_G463,F,6,G29,2/21/2018
Schneider_G464,F,6,G29,2/21/2018
Schneider_G465,F,6,G29,2/21/2018
Schneider_G466,F,6,G29,2/21/2018
Schneider_G467,F,6,G29,2/21/2018
Schneider_G468,F,6,G29,2/21/2018
Schneider_G469,F,6,G29,2/21/2018
Schneider_G470,F,6,G29,2/21/2018
Schneider_H471,F,7,G30,5/16/2018
Schneider_H472,F,7,G30,5/16/2018
Schneider_H473,F,7,G30,5/16/2018
Schneider_H474,F,7,G30,5/16/2018
Schneider_H475,F,7,G30,5/16/2018
Schneider_H476,F,7,G30,5/16/2018
Schneider_H477,F,7,G30,5/16/2018
Schneider_H478,F,7,G30,5/16/2018
Schneider_H479,F,7,G30,5/16/2018
Schneider_H480,F,7,G30,5/16/2018
Schneider_H481,F,7,G30,5/16/2018
Schneider_H482,F,7,G30,5/16/2018
Schneider_H483,F,7,G30,5/16/2018
Schneider_H484,F,7,G30,5/16/2018
Schneider_H485,F,7,G30,5/16/2018
Schneider_H486,F,7,G30,5/16/2018
Schneider_H487,F,7,G30,5/16/2018
Schneider_H488,F,7,G30,5/16/2018
Schneider_H489,F,7,G30,5/16/2018
Schneider_H490,F,7,G30,5/16/2018
Schneider_H491,F,7,G30,5/16/2018
Schneider_H492,F,7,G30,5/16/2018
Schneider_H493,F,7,G30,5/16/2018
Schneider_H494,F,7,G30,5/16/2018
Schneider_H495,F,7,G30,5/16/2018
Schneider_H496,F,7,G30,5/16/2018
Schneider_H497,F,7,G30,5/16/2018
Schneider_H498,F,7,G30,5/16/2018
Schneider_H499,F,7,G30,5/16/2018
Schneider_H500,F,7,G30,5/16/2018
Schneider_H501,F,7,G30,5/16/2018
Schneider_H502,F,7,G30,5/16/2018
Schneider_H504,F,7,G30,5/16/2018
Schneider_H505,F,7,G30,5/16/2018
Schneider_H506,F,7,G30,5/16/2018
Schneider_H507,F,7,G30,5/16/2018
Schneider_H508,F,7,G30,5/16/2018
Schneider_H509,F,7,G30,5/16/2018
Schneider_H510,F,7,G30,5/16/2018
Schneider_H511,F,7,G30,5/16/2018
Schneider_H512,F,7,G30,5/16/2018
Schneider_H513,F,7,G30,5/16/2018
Schneider_H514,F,7,G30,5/16/2018
Schneider_H515,F,7,G30,5/16/2018
Schneider_H516,F,7,G30,5/16/2018
Schneider_H517,F,7,G30,5/16/2018
Schneider_H518,F,7,G30,5/16/2018
Schneider_H519,F,7,G30,5/16/2018
Schneider_H520,F,7,G30,5/16/2018
Schneider_H521,F,7,G30,5/16/2018
Schneider_H522,F,7,G30,5/16/2018
